Chr	Mb_NCBI38	cM
UNC8284754	4	135426946	67.6166
UNC6512027	3	148975349	74.3468
backupUNC020159603	2	120181810	60.2597
UNC8460072	4	151166005	81.9524
UNC18451537	10	93319159	48.1758
UNC10884793	6	36331342	15.478
UNC15002452	8	74135996	35.386
UNC14366524	8	27338593	15.9903
UNC2200831	1	171597107	79.542
UNC699866	1	54807509	27.976
UNC30386265	19	45676972	38.754
UNC24624501	14	101326954	50.895
UNC531500	1	41886546	20.3669
UNC15339267	8	98594825	49.0951
backupJAX00578831	5	35984096	19.141
UNC11007480	6	46173984	22.049
UNC15135719	8	84187455	40.4986
UNC16816141	9	87221152	46.7974
UNC807288	1	64324127	32.7067
UNC060194387	6	124262419	59.1231
UNC3232445	2	66476953	39.126
UNC4927116	3	28215345	11.822
UNC20258151	11	101675556	65.483
backupUNC140098146	14	19661962	10.4046
UNC30543058	19	56006537	51.6849
UNC9221465	5	55249290	30.5732
JAX00536654	3	125068773	54.681
UNC6320397	3	136129347	63.036
UNC19973519	11	79704730	47.0154
UNC11710609	6	100921706	46.936
UNC16143004	9	34654274	18.7402
UNC10474750	6	4254704	1.806
UNC31343200	X	134596214	56.2022
UNC22829452	13	71646523	38.0198
JAX00180191	X	68126466	34.81
JAX00588959	5	93285373	47.291
UNC2751564	2	24995216	16.896
UNC27541438	17	8889101	5.4222
UNC28346929	17	74800226	45.636
UNC24264112	14	75114944	39.6195
JAX00003956	1	55912315	28.4574
UNC11758133	6	104180074	48.928
UNC20608961	12	9866543	4.5898
UNC13219537	7	80640898	45.657
JAX00326856	12	16565165	7.9213
UNC9760274	5	99326584	48.461
UNC17085204	9	107398262	58.024
JAX00358278	13	53301911	27.68
JAX00582346	5	52279367	27.755
JAX00703753	9	101232288	53.2924
UNC9076212	5	44714531	24.241
JAX00636111	7	37173455	23.9631
UNC5839164	3	100518251	43.711
UNC14229193	8	15911033	8.382
UNC14453325	8	33064484	19.28
UNC040360878	4	148700220	78.872
UNC2961020	2	44260476	26.4876
UNC7784540	4	96092275	44.2707
UNC26180422	15	97085249	52.8229
UNC14918553	8	66002646	33.0833
JAX00427232	16	88206678	50.5396
UNC12249896	6	141160881	71.7058
UNC030548177	3	125564411	54.681
UNC23494093	13	119075596	67.21
UNC3195839	2	63468026	36.7902
UNC13944218	7	136815177	82.0256
UNC28767797	18	14247102	7.9077
UNC5115192	3	41356268	19.7876
UNC6673222	4	6741242	3.0861
UNC12555804	7	29314386	16.943
UNC20402866	11	112067050	75.7349
UNC7041051	4	34618213	16.8413
UNC26149655	15	94669083	48.7049
UNC22291820	13	25626837	11.3467
UNC19879764	11	70716535	43.208
UNC12512780	7	25309648	13.7414
UNC040716572	4	105032234	49.0545
UNC12300787	6	144615125	76.9923
UNC4960210	3	30649153	14.268
UNC829913	1	66108762	33.4364
UNC9183051	5	52346384	27.8821
UNC15000682	8	73962702	35.3496
UNC14536311	8	37992012	23.6832
UNC14439731	8	32234679	19.011
UNC27723287	17	27419421	14.0487
UNC19676129	11	56103467	33.4327
UNC27462990	16	96313566	56.9119
UNC060371051	6	47223004	22.7489
UNC30551355	19	56559527	51.8994
UNC23272554	13	104617159	56.6278
UNC140324472	14	106347738	56.165
UNC16686479	9	77965395	43.3998
UNC6718797	4	10059838	4.4582
UNC081481218	8	87727131	42.3429
UNC6527833	3	150359533	76.224
UNC22846899	13	72751104	39.372
UNC19884170	11	71163731	43.2338
UNC27119670	16	74131651	42.3108
UNC7286536	4	55228966	29.6371
JAX00151601	7	56152017	33.426
UNC9337934	5	64306755	32.795
JAX00123494	4	114768655	52.5197
UNC3776734	2	113673038	57.4038
UNC13813737	7	127538589	69.5797
UNC090326906	9	58133491	31.631
backuprs52283297	16	70395582	40.186
UNC26161152	15	95486815	50.3123
UNC14953224	8	68519530	33.879
UNC14609155	8	42935787	23.893
UNC15329136	8	97896948	48.923
UNC9118308	5	47767443	26.019
UNC8443750	4	150063281	80.8392
UNC20476241	11	116624610	81.429
UNC23234247	13	101789605	54.1356
JAX00280763	1	192869205	97.551
UNC4333487	2	159603562	80.0593
UNC8914954	5	32744357	17.33
UNC6234814	3	129980073	59.8578
UNC6853302	4	20477976	8.5894
backupUNC110250267	11	13335785	7.947
UNC13947091	7	137013457	82.1441
JAX00030305	11	91164319	56.103
JAX00629782	6	144361016	76.367
backupUNC180117139	18	58026578	32.1614
UNC26156756	15	95148425	49.3137
UNC9212092	5	54532690	29.8146
JAX00409942	15	93247256	47.3462
UNC8034650	4	115200649	52.8334
JAX00701738	9	92386066	48.3725
UNC100028611	10	20326919	9.754
UNC040722464	4	110340334	51.428
UNC26814436	16	51104787	31.917
UNC12734530	7	45818351	29.5278
UNC19168123	11	17030469	9.4656
UNC29883391	19	10504527	6.596
UNC16871343	9	92394735	48.3742
JAX00654302	7	123573653	67.417
UNC21119037	12	52856041	22.249
UNC5455496	3	68580007	31.8387
JAX00416570	16	28545624	19.6425
UNC24103053	14	62723498	33.233
UNC21103316	12	51648541	22.115
UNC13749958	7	121762362	65.066
UNC22015971	12	119197565	63.485
UNC7274176	4	54214154	29.0987
JAX00274735	1	166258837	73.6177
UNC30362847	19	43899674	36.667
JAX00354694	13	35345167	14.3168
UNC4513522	2	171745710	94.648
UNC15239261	8	91447065	44.391
UNC10394479	5	147248985	86.8297
JAX00003653	1	51878108	26.579
UNC24515372	14	93978563	46.0467
UNC19887436	11	71366826	43.3681
UNC4933659	3	28701726	12.192
UNC11612100	6	93646348	42.6797
UNC14329368	8	24518499	12.5298
UNC18422331	10	91031745	45.4878
UNC9000112	5	39076165	20.891
UNC11547178	6	87711982	38.9286
UNC24913816	14	121556047	65.2928
UNC9016316	5	40289342	21.25
JAX00203489	13	82715889	43.678
JAX00532000	3	101532175	44.301
UNC23947310	14	46169878	23.7647
UNC17088268	9	107687530	58.9477
UNC020032159	2	42669470	25.3118
UNC28017052	17	52675056	27.41
UNC21022407	12	45113665	21.0398
UNC2030429	1	158156491	68.2022
UNC5533997	3	74251843	33.612
UNC110181162	11	113239538	78.74
backupUNC180165192	18	73031073	46.2524
UNC6871793	4	21855857	9.0718
UNC15579785	8	116861184	63.2382
UNC8402565	4	144200127	77.976
UNC190038461	19	31821742	26.5731
UNC24074697	14	60366896	31.617
JAX00169925	9	34518624	18.482
UNC3841379	2	119397483	59.974
UNC23284724	13	105529106	56.921
UNC6541009	3	151365935	76.756
UNC731078	1	57443339	28.7932
JAX00174723	9	98765420	51.406
UNC16232212	9	41518125	23.411
backupUNC070466450	7	36577851	22.4281
UNC5009091	3	34066622	16.4368
UNC5940583	3	109353292	48.128
UNC11235479	6	64103565	29.964
JAX00559336	4	99274566	45.637
UNC8321908	4	138013857	70.021
UNC26240644	15	102743871	57.8413
UNC26678182	16	39303770	27.084
UNC5676978	3	84149700	37.4784
UNC26174861	15	96545342	52.5159
JAX00451460	18	8452262	4.65
UNC7360203	4	62753137	33.3491
UNC11013469	6	46635676	22.2641
UNC110189475	11	117169857	82.3897
UNC19435196	11	37808509	23.575
UNC2036078	1	158590547	68.486
JAX00578059	5	32373078	17.33
JAX00027445	11	52520308	31.864
JAX00654043	7	122831938	67.417
UNC170220162	17	87520029	57.7075
UNC24593051	14	99281292	49.4138
B6_17-043214756-S	17	43077807	19.6945
UNC21361472	12	70957097	29.393
JAX00307087	11	31741167	18.5922
UNC8312309	4	137347319	69.8444
UNC2972402	2	45685369	27.4459
UNC6213256	3	128476368	56.9526
UNC25274285	15	29223990	11.952
UNC13161594	7	76003051	43.874
UNC160911948	16	87094537	49.254
UNC26124488	15	92622546	46.613
UNC25209003	15	24964830	9.1607
UNC23103901	13	93172257	47.813
UNC18475271	10	94794407	49.094
UNC18535456	10	99261028	51.126
UNC15723539	8	126505019	74.3238
JAX00014050	1	191786714	96.917
UNC25888076	15	74157051	34.1425
JAX00688476	9	28747875	14.3643
UNC7874391	4	103129985	47.3829
UNC020472923	2	104104150	54.534
UNC19509557	11	43536356	25.7892
JAX00357336	13	47970879	24.5699
UNC19665016	11	55395239	33.0404
JAX00113054	3	128593182	57.0083
UNC31319750	X	130875621	53.17
JAX00132093	5	79791879	42.215
backupUNC060357131	6	17950631	8.0782
UNC24833133	14	116748502	60.335
JAX00338664	12	76642814	33.731
UNC2253664	1	175465526	81.3903
UNC8372175	4	141380537	73.9288
UNC22434565	13	37506821	16.1966
UNC1141094	1	91312012	46.081
UNC18147051	10	67743218	35.0033
UNC19094198	11	12055818	7.2199
UNC21196986	12	59061429	25.9962
UNC11014503	6	46714281	22.3213
UNC26347609	16	11979302	6.8804
UNC8791233	5	22972417	10.074
UNC21422854	12	75917863	33.2817
UNC23954188	14	46778644	24.295
UNC27463073	16	96320232	56.9146
UNC19613599	11	51329446	31.0413
UNC31221166	X	113080609	48.936
JAX00166050	8	108569823	55.6847
UNC22703394	13	59512037	31.873
UNC16832742	9	88496808	47.244
UNC21840663	12	107412580	57.958
UNC15246062	8	91911692	44.554
UNC30557303	19	56993476	52.0712
JAX00004915	1	68731989	34.2648
JAX00603282	6	12978399	5.3724
UNC1795522	1	140384173	61.617
UNC13521757	7	103537006	54.853
UNC24154070	14	66786413	34.598
JAX00295523	10	89804816	45.284
UNC21710461	12	97900564	48.6424
JAX00280243	1	190200406	96.0716
UNC12677273	7	40373223	26.863
UNC24088737	14	61612063	33.163
UNC22262889	13	23606995	9.821
UNC16952376	9	97991414	51.297
UNC851208	1	67560100	33.747
UNC6578459	3	153953024	78.7972
UNC27392564	16	91623830	53.1827
JAX00344189	12	104197433	53.6042
UNC17183415	9	115114579	67.2637
UNC3311130	2	72005651	42.9075
UNC11610983	6	93581016	42.3798
UNC16331393	9	49178166	26.589
UNC16251653	9	42829821	24.087
UNC5243097	3	50917526	21.875
UNC28703354	18	9338248	4.905
UNC14260720	8	17681947	9.357
UNC13141431	7	74557801	43.462
JAX00159582	8	21960955	10.7093
UNC020489820	2	118308718	59.399
UNC28062294	17	55523611	28.8627
UNC8516426	4	154707313	84.6993
UNC14349158	8	26139582	14.399
backupUNC110945346	11	58595448	36.2049
UNC28077436	17	57106511	29.6701
UNC13084294	7	70721743	39.3459
UNC2203192	1	171873408	79.542
UNC19773252	11	63125939	38.9863
UNC14296574	8	22201952	11.1486
UNC10640759	6	17546764	7.8884
UNC19697477	11	57339490	35.273
UNC17637240	10	27167199	14.407
UNC30127177	19	26370839	21.004
UNC8161707	4	126145900	59.9547
UNC21868622	12	109410742	60.161
UNC28011571	17	52267924	27.262
UNC142280	1	14027765	4.311
UNC8462494	4	151303133	82.589
UNC29608884	18	74799436	50.7895
UNC12622801	7	35905934	21.7783
UNC4259616	2	153912126	75.989
UNC26565655	16	29508048	20.4871
backupUNC050339644	5	38753772	20.857
UNC28937452	18	27754564	16.285
backupUNC140436365	14	14236760	7.08
UNC2246604	1	174996546	81.0825
UNC21174361	12	57276380	24.695
UNC8983442	5	37890560	20.207
UNC15266097	8	93122447	44.987
UNC30627420	X	8526418	3.8629
UNC4510907	2	171560915	94.2495
UNC200538734	X	81235629	38.38
JAX00036273	12	54328689	23.1114
JAX00011099	1	151906273	64.4409
UNC4097177	2	140905970	69.4072
UNC28362701	17	75721854	46.956
UNC26590791	16	31401950	21.6708
UNC8401473	4	143865507	77.976
backupUNC050186463	5	114191685	55.9882
UNC18272095	10	77414141	39.722
JAX00531938	3	101283244	44.1918
JAX00564209	4	122854729	57.2719
UNC22435402	13	37550404	16.6654
UNC050237937	5	143004698	81.8682
UNC18805053	10	117376300	65.7096
UNC5656390	3	82617505	36.5597
UNC16517038	9	64891520	34.9761
UNC14523319	8	37180863	23.307
UNC2476771	2	4028843	2.3195
UNC23398571	13	112816933	63.929
UNC8099774	4	120715355	56.524
UNC21479772	12	80599674	36.8657
JAX00132291	5	82442367	43.004
UNC27723811	17	27490071	14.2348
UNC8842110	5	26743506	12.9052
UNC27544557	17	9143028	5.9489
JAX00676127	8	91457594	44.391
UNC18433613	10	91917128	46.5493
UNC020012740	2	20975044	14.6808
UNC110098651	11	66357303	40.593
UNC833920	1	66355777	33.554
JAX00189265	3	109017896	48.1259
UNC28527908	17	86568175	56.762
UNC29070452	18	38307772	20.2099
UNC4962797	3	30830442	14.3141
UNC24399939	14	86085498	43.77
JAX00172302	9	66303070	35.836
UNC14406074	8	30175179	16.602
JAX00147176	6	135771704	66.3973
UNC28505013	17	84856161	55.0817
JAX00078697	17	80958275	50.9731
backupUNC140418896	14	49638706	25.7602
JAX00556673	4	86117051	40.391
UNC17282731	9	121633937	72.4967
UNC12004390	6	123377658	58.441
UNC10540565	6	9107643	4.382
UNC9654834	5	89438234	44.322
UNC20798729	12	28992170	11.859
UNC24137114	14	65621492	34.3409
JAX00111622	3	109255140	48.128
JAX00148771	7	13022416	7.7267
UNC28400170	17	78067708	48.091
UNC22601464	13	52421182	27.1817
UNC25670388	15	58138224	24.3779
UNC190093358	19	55823155	51.6225
UNC7987600	4	112735179	51.535
UNC090225566	9	107552016	58.123
UNC14437463	8	32074237	18.9682
UNC26138890	15	93897269	47.9031
JAX00170531	9	42710176	23.9773
UNC10244622	5	135596764	75.2933
JAX00508955	2	158967805	79.0765
UNC12188644	6	137336637	66.7655
UNC16552565	9	67897124	36.807
UNC11635227	6	95151066	44.316
UNC14416739	8	30864073	17.5609
UNC29508118	18	68350801	41.5375
UNC14447495	8	32701973	19.011
JAX00169778	9	32554362	17.8471
UNC28485829	17	83557970	53.4366
UNC12173119	6	136424479	66.589
UNC24390825	14	85293071	43.536
UNC040550204	4	114289968	51.535
UNC10042970	5	121211740	61.715
JAX00016143	10	27746714	14.7579
JAX00635910	7	36639199	22.6124
UNC6606497	3	156342794	80.441
UNC23669613	14	20997841	11.5619
UNC15207643	8	89392963	43.5241
UNC010292027	1	140294459	61.617
UNC28332995	17	73764338	45.1373
JAX00077729	17	68044536	39.051
UNC30388775	19	45878670	38.754
UNC24548945	14	96305681	47.0975
UNC9984006	5	116555496	56.5669
UNC3940372	2	128309783	62.4584
UNC27888127	17	43385612	19.7256
UNC12638892	7	36847704	23.2906
UNC3803552	2	116126054	58.521
UNC6354957	3	138496613	64.2868
UNC3882700	2	123506344	60.692
JAX00648137	7	97441711	53.5036
UNC12863644	7	53794239	33.0684
UNC30374907	19	44698836	38.0503
JAX00513091	2	179824710	102.3336
UNC19331691	11	30155440	17.6527
UNC26020619	15	85353337	40.3264
UNC8866057	5	28358082	14.392
UNC21317215	12	67684082	28.578
UNC4338721	2	159915323	80.5358
UNC080403439	8	127210819	74.6836
UNC28011928	17	52291446	27.262
UNC3759706	2	111827981	56.753
UNC110038256	11	26586367	15.943
UNC13168442	7	76545472	43.9129
UNC30113599	19	25441462	20.4246
UNC24582195	14	98504969	48.8108
UNC14046235	7	144709261	88.854
UNC11781373	6	106241793	49.0721
UNC30064187	19	22494610	16.9383
UNC9153354	5	50000372	26.8505
UNC22985743	13	84599990	44.6266
UNC19749044	11	61189830	37.964
UNC020284970	2	169770191	89.472
UNC14433038	8	31795052	18.754
JAX00152842	7	73246770	41.7912
UNC18149053	10	67871499	35.033
UNC20126549	11	91651497	56.103
UNC170539509	17	10007292	7.6897
UNC26139984	15	93975332	47.9358
UNC15111941	8	82338050	39.333
UNC050308556	5	125507903	64.2551
backupJAX00159316	8	17572525	9.357
JAX00489200	2	50858877	29.2705
UNC24151149	14	66583856	34.598
UNC29782936	18	86594240	58.633
UNC30560571	19	57152464	52.1341
UNC20207771	11	97635520	61.0311
UNC29474682	18	66275923	39.3481
UNC23241450	13	102439108	54.35
UNC19057642	11	9555362	6.126
UNC26286240	16	7052267	3.3747
UNC29331490	18	57257647	31.688
UNC8311463	4	137260311	69.7843
UNC24499718	14	92831831	45.7248
JAX00024901	11	18165082	10.518
JAX00078882	17	83425821	52.845
UNC070671365	7	90937149	50.9728
JAX00702758	9	96996870	50.7809
UNC23654446	14	19646904	10.3497
UNC28234612	17	67758234	38.825
UNC3838879	2	119117357	59.9237
JAX00096644	2	83755668	49.328
UNC555788	1	43564847	23.2912
UNC27287319	16	84872992	46.925
JAX00127208	5	13826079	5.339
UNC28401141	17	78145709	48.091
UNC11032265	6	48476519	23.4489
UNC15899093	9	16082749	5.1974
UNC27112906	16	73562770	41.9164
UNC9005696	5	39515243	21.0653
JAX00702883	9	97616874	51.2221
UNC9957213	5	114542922	55.994
UNC11585840	6	91738993	40.7785
JAX00128988	5	38424512	20.5155
UNC6946501	4	27427265	11.3387
UNC12299801	6	144555911	76.9545
UNC27775382	17	31766307	17.251
UNC21779963	12	103283977	52.896
UNC8300774	4	136588356	68.8743
JAX00126078	4	151217600	82.2269
UNC589868	1	45915046	23.96
UNC4251343	2	153228614	75.407
JAX00002909	1	41912677	20.389
UNC5880396	3	103545860	45.4194
UNC22865662	13	74195910	40.148
UNC26806613	16	50581146	31.496
UNC20203838	11	97323589	60.95
UNC26664621	16	38017426	26.538
UNC8622491	5	9745261	3.694
UNC17429712	10	12034237	3.7353
UNC23229842	13	101441286	53.808
UNC25930440	15	78102990	36.924
repJAX00725057	Y	2739330	NA
UNC22601011	13	52393637	27.1424
UNC040654382	4	116811286	53.3421
UNC28375876	17	76527183	47.5407
UNC3709186	2	106875737	55.9223
UNC27760645	17	30697425	15.7348
UNC3779021	2	113961081	57.516
UNC3584314	2	97319661	52.402
UNC11470998	6	81165711	35.385
JAX00691456	9	41665674	23.4215
UNC10838016	6	32664424	13.9187
UNC14049528	7	145115611	88.98
UNC19195328	11	19015448	11.3549
UNC4775324	3	16412085	4.041
JAX00497562	2	99497446	53.068
UNC24669994	14	105370979	55.8384
UNC25907578	15	75774255	34.8663
UNC3662299	2	102897462	54.1394
UNC2326977	1	182001895	84.931
UNC30570321	19	57817350	53.6454
UNC5359394	3	59574730	29.0693
UNC10093716	5	125668314	64.3526
JAX00126425	4	155860646	87.6569
UNC16215188	9	40403709	21.419
UNC19845480	11	67735110	41.127
UNC12867176	7	53955361	33.157
JAX00139701	6	35170186	15.2356
UNC_rs32609050	14	117675147	61.0662
UNC14828812	8	59369489	30.819
UNC24002770	14	51370524	26.4922
UNC510853	1	40530323	19.4044
UNC4581725	2	179355806	101.8349
UNC030460985	3	58518756	28.5777
UNC2186279	1	170479983	76.8923
UNC1681979	1	131497494	56.963
JAX00129438	5	44429104	24.241
UNC27107111	16	73134965	41.3523
UNC29191167	18	46974022	24.9128
JAX00126086	4	151352444	82.589
UNC24025320	14	54137419	27.6616
UNC10544249	6	9416693	4.4271
UNC21333593	12	68979951	28.726
JAX00627830	6	137327554	66.7644
UNC3883320	2	123575374	60.692
JAX00174076	9	90155005	47.4566
UNC12643421	7	37133798	23.8831
UNC060274207	6	144026630	76.3558
JAX00525775	3	68142117	31.5025
JAX00493355	2	75216198	44.5477
UNC27473291	16	97182472	57.2892
UNC26550060	16	28540978	19.6406
UNC1765809	1	137649043	60.4409
UNC29875605	19	9805159	6.098
UNC3525203	2	92689429	51.2499
UNC1124747	1	90312318	45.4084
UNC22014866	12	119103625	63.485
UNC9656205	5	89521130	44.322
UNC15381714	8	101477388	50.074
UNC28216310	17	66718609	37.877
UNC9181019	5	52212101	27.6274
UNC26232035	15	101920013	57.1294
UNC5048297	3	36691603	18.0506
UNC9004864	5	39448039	20.9568
UNC28080439	17	57348604	29.7935
UNC18374685	10	87409654	43.636
UNC11067910	6	50987818	24.5013
UNC13791356	7	125221537	68.5831
UNC020196475	2	132034866	64.146
backupUNC070373833	7	98412381	53.7869
UNC6282922	3	133303498	61.7019
UNC18939302	10	126081366	73.691
UNC3071379	2	53311598	30.694
UNC6241758	3	130423947	60.3159
UNC5786838	3	95895892	41.4777
JAX00266150	1	127459710	55.7619
backupUNC030403972	3	37874547	18.461
UNC31341170	X	134366790	56.1616
UNC13092920	7	71353906	40.7364
UNC5454011	3	68471162	31.7552
UNC28397101	17	77849251	48.091
UNC20840265	12	31818852	13.7134
UNC7145504	4	44133849	23.1371
UNC14281989	8	19165031	10.352
UNC16443479	9	59008578	32.009
UNC28777523	18	15076935	8.281
UNC10869168	6	35022655	15.1985
UNC23948534	14	46285815	23.8657
UNC25774459	15	66207096	29.16
UNC110034761	11	20979417	13.7333
UNC010243790	1	121591505	52.983
UNC16807536	9	86581367	46.576
UNC10259209	5	136801310	76.029
backupUNC180062842	18	21878800	11.956
UNC14520672	8	37021922	23.1992
UNC10139119	5	128459354	67.673
UNC5944752	3	109625007	48.1881
JAX00072754	16	95371918	56.0624
UNC14796303	8	57011427	29.699
UNC16129024	9	33636384	18.1971
UNC18619300	10	104807932	54.723
UNC26393165	16	16020133	10.086
UNC29721808	18	82375696	55.78
UNC10491637	6	5704731	2.2471
JAX00623720	6	117537102	55.2382
backupJAX00021946	10	106030562	55.1397
UNC25371045	15	36450763	14.4609
UNC4544960	2	173618812	97.1622
UNC21656406	12	94616258	45.6602
UNC26122293	15	92433173	46.5536
UNC17552818	10	21110946	9.754
UNC15291130	8	94946598	47.0618
UNC6511415	3	148918172	74.2116
UNC30392264	19	46116298	38.754
JAX00031113	11	101983513	65.483
JAX00107960	3	59859234	29.073
UNC11618975	6	94116609	42.8358
UNC120350890	12	11350585	5.58
UNC12177332	6	136700133	66.6727
UNC2982801	2	46730763	27.586
UNC3526866	2	92802750	51.3457
UNC5680234	3	84354270	37.601
JAX00492862	2	71836026	42.8213
UNC29133396	18	42938651	22.975
UNC5652277	3	82370536	36.3815
UNC20780952	12	27783661	10.04
UNC30392944	19	46184024	38.754
UNC11110543	6	54223199	26.844
UNC5506730	3	72173041	32.593
UNC11075213	6	51478323	24.8951
UNC31266428	X	119824977	49.582
UNC12253897	6	141407663	72.1627
UNC26004349	15	84240804	39.78
UNC24208098	14	71111401	36.886
UNC16999999	9	101496298	53.476
UNC27033660	16	67982849	39.067
JAX00113591	3	135860058	63.036
UNC1257137	1	100522606	48.814
UNC9012106	5	40027709	21.25
JAX00064085	15	79949498	37.848
UNC5660748	3	82878541	36.7966
UNC19822264	11	66261198	40.593
UNC27730533	17	28028412	14.6155
JAX00417964	16	35515629	25.367
UNC30955632	X	72413849	37.2378
UNC3414713	2	80526919	48.2282
UNC8425870	4	148578774	78.764
UNC30203900	19	31896779	26.584
JAX00251867	1	57027315	28.782
UNC19701910	11	57591836	35.273
UNC2150313	1	168187334	76.113
UNC30488845	19	52283644	46.764
UNC29331315	18	57247453	31.6723
UNC24089348	14	61696980	33.163
UNC6538312	3	151159157	76.756
UNC16300408	9	46634655	25.5082
UNC21865409	12	109190989	60.1278
UNC3034085	2	50745010	29.05
UNC4022768	2	134889339	65.6707
JAX00049349	13	114859992	64.615
JAX00021102	10	94670026	49.0397
UNC3789018	2	114789277	57.8555
UNC23154863	13	96367685	50.5533
UNC16659342	9	75960960	42.3891
UNC2137499	1	167331141	74.7157
UNC6724691	4	10595562	4.7149
UNC16644443	9	74791553	41.805
UNC9852023	5	105676129	50.683
UNC31134948	X	99290154	43.295
UNC3836303	2	118845618	59.5776
UNC020230950	2	152699661	75.407
UNC29956737	19	16336206	11.1823
UNC11015841	6	46798196	22.3824
backupUNC030025601	3	27790943	11.0352
UNC7375371	4	63808044	34.056
UNC18551071	10	100311889	51.4457
JAX00579641	5	39486850	21.0394
UNC17642097	10	27500405	14.5534
UNC129874	1	13129964	4.123
JAX00065348	15	96839782	52.6833
UNC26033460	15	86342116	40.7086
JAX00334122	12	53945646	22.7754
UNC3176950	2	61936588	35.7189
backupUNC150327875	15	13782754	6.8887
UNC16652459	9	75460678	42.2975
UNC253175	1	21690647	7.6827
UNC23202280	13	99483333	52.904
UNC3950126	2	129110239	62.6948
JAX00465617	18	76228994	51.4065
UNC9720485	5	96624029	47.291
JAX00691172	9	40438677	21.419
JAX00447004	17	76969306	47.8135
UNC17414352	10	10789557	3.44
UNC17112107	9	110338881	59.9129
UNC872147	1	69081126	34.7341
UNC010515556	1	4531029	1.6516
UNC19235033	11	21934173	14.09
JAX00116447	4	17434544	7.0415
backupUNC131308761	13	114461621	64.1645
UNC6952078	4	27741705	11.365
UNC16444944	9	59143978	32.009
UNC874332	1	69243576	34.767
UNC8976545	5	37474951	20.1854
JAX00519906	3	37134808	18.3093
JAX00097084	2	89751455	50.1151
UNC27847687	17	38857854	19.159
UNC030202352	3	124631978	54.681
UNC30824054	X	51887663	28.326
UNC23950980	14	46544348	24.0909
UNC4544729	2	173597301	97.1082
UNC656481	1	51497350	26.579
UNC31421546	X	144453384	65.5771
UNC13228422	7	81346403	45.707
UNC16860240	9	91418357	48.279
UNC8517517	4	154766219	85.004
UNC17132286	9	111784422	62.191
UNC13943673	7	136778137	82.0034
JAX00237838	9	93480183	48.5851
JAX00038346	12	82148759	38.1231
UNC20420786	11	113063476	78.6369
UNC080206141	8	43375608	23.902
UNC6242354	3	130464223	60.3494
UNC2684703	2	20037810	14.4781
JAX00026407	11	38574185	23.6567
UNC7045413	4	34951682	16.859
UNC18893402	10	123132677	72.313
JAX00363116	13	73557564	40.1044
UNC21746210	12	100409455	50.426
UNC7556251	4	78074351	37.323
UNC9953788	5	114322725	55.994
JAX00093690	2	44245023	26.4344
UNC9462271	5	73741692	39.1699
UNC26136502	15	93710408	47.8248
UNC5662153	3	82988328	36.9196
JAX00190575	9	100279699	52.5536
UNC090227520	9	109096023	59.631
UNC13780752	7	124541379	67.9883
UNC26287211	16	7127896	3.3853
backupUNC110372717	11	95151146	59.006
UNC14501376	8	35902624	21.6647
UNC130352072	13	98010852	51.688
UNC3861994	2	121655320	60.433
UNC11683194	6	98856512	45.742
UNC6330919	3	136840061	63.371
UNC13222428	7	80862170	45.707
UNC23678312	14	21672542	11.8137
JAX00265687	1	125667681	54.7
UNC6286885	3	133601907	61.9448
UNC25019697	15	10280766	5.3194
UNC3705366	2	106561102	55.7383
UNC17518238	10	18583279	7.7862
UNC11921145	6	116737289	53.8447
UNC8974921	5	37394627	20.1659
UNC16299775	9	46582979	25.4955
UNC18145142	10	67616095	34.9738
UNC12735471	7	45892146	29.58
UNC30277815	19	37694841	32.3612
UNC4688515	3	9829303	2.469
UNC141056279	14	75367267	39.9332
UNC17130754	9	111698754	62.191
UNC27566172	17	11318508	7.804
UNC13224872	7	81069524	45.707
JAX00180841	X	77119456	38.295
UNC28693683	18	8523683	4.65
JAX00434437	17	26282787	13.1048
UNC20765180	12	26633157	9.7136
UNC8416541	4	147918704	78.569
UNC24282883	14	76533086	40.441
UNC23744181	14	27509822	16.51
backupUNC080322610	8	88979355	43.51
UNC27463478	16	96348925	56.9253
backupUNC090085416	9	47938277	26.143
UNC19552309	11	46491884	27.9439
backupUNC020552380	2	165746207	85.934
UNC30916968	X	66715236	34.81
UNC010177125	1	93361490	47.243
JAX00136522	5	141011184	79.5674
UNC29072738	18	38472502	20.3788
UNC517414	1	40922707	20.074
UNC30362100	19	43854632	36.667
UNC30575086	19	58184769	54.1473
JAX00381336	14	60455443	31.6398
JAX00511902	2	172577279	94.872
UNC11124841	6	55204181	27.377
JAX00118768	4	49720584	26.7952
UNC11341381	6	72067557	32.2379
UNC28663194	18	5586113	4.3783
UNC16961819	9	98687283	51.406
UNC2347566	1	184176306	88.205
UNC3422978	2	81473515	48.951
UNC6566516	3	153286764	78.0019
JAX00009228	1	126874126	55.4711
UNC20752034	12	25852556	9.2689
UNC18480077	10	95117731	49.2351
UNC19100416	11	12572452	7.7192
UNC19051318	11	9090999	6.126
UNC15382790	8	101540287	50.074
UNC9991056	5	116968846	56.879
JAX00255569	1	75769248	39.162
UNC12198356	6	137882990	67.6803
UNC11084480	6	52190394	25.397
UNC8305019	4	136852849	69.051
UNC28394780	17	77679282	48.091
UNC15401252	8	102716265	51.9853
UNC20387308	11	111198131	75.228
UNC20523189	11	120167003	83.963
JAX00514198	3	6290396	1.961
JAX00671437	8	68343478	33.879
UNC5270387	3	52767598	24.097
